"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"142",109297.855535196,286658.716089575,258755.361435421,21.2539885390997,22.7093121234318,22.1153602579608
"143",104823.213912656,251037.419725992,230220.245028867,22.1258187968768,23.6547177589171,22.7755416172587
"144",107116.921852694,305530.83535875,274776.797579005,20.7760574138079,22.2609743090037,21.5306425624844
"145",117807.927780281,285569.315600747,256153.077260657,21.2219800423269,23.0765928760073,22.0223414097277
"146",112156.034092509,296909.028942668,262077.678102612,20.6981336073382,22.3102659160467,21.4487752869252
"147",125316.663842274,288766.771484703,262106.047372792,20.5759405804033,22.4468170808157,21.4543446459346
"148",128536.899156264,288631.386196179,261807.421752241,20.6214341994237,22.8486771452835,21.5373308127557
"149",107976.620980107,286664.994785711,258876.482082026,20.8856648686011,22.4980119153325,22.0168887911285
"150",116614.0834634,265875.712854945,237554.450843494,22.2915860859167,23.6869390474714,23.0226158935192
"151",118753.764336563,323555.080660312,291922.732475661,19.8593740372151,21.7934631348414,20.880157881002
"152",130422.014529301,321789.074819685,286074.347051731,19.8544262745449,22.0759637236063,20.8212700075152
"153",115463.566743801,269758.071053479,234190.917573662,21.2119452180603,22.8219431887955,22.195196270419
"154",99876.7060971856,266953.2931625,229472.385901269,21.2210119734384,22.6902359203572,22.3109152620204
"155",132256.068995017,336259.237542597,297830.607092532,19.9741709223352,21.9826786346852,21.0214831715794
"156",102817.524072015,261637.136199049,237913.453414049,21.4783829564321,22.9119860907032,22.3388736743993
"157",113225.504368946,293236.458314946,289981.840765691,21.0207061746486,22.704268446953,21.512308708678
"158",116586.871388075,279602.238359798,246459.67045574,21.1133436067935,22.7324670431339,22.0803423156289
"159",109470.312842818,262979.112635424,228423.496477169,22.2018786083018,23.8668708271109,22.7986727786741
"160",105066.746282504,297689.575473552,281185.344863438,20.9516464752253,22.5635492108087,21.667221857412
"161",120187.476510159,315010.387345703,273428.906179611,20.1117842883275,22.0644103245275,21.1413343826121
"162",104197.528525001,260036.913321846,233782.828064491,22.073528993863,23.5167880229948,22.8081865443862
